Nom français,Nom anglais,Categorie,Nom espagnol,Définition française,Définition anglaise,Illustration,Illustration 2,Illustration 3,Source
Liseré,?,Design mécanique,,Fins rebords ajoutés de part et d'autres de deux coques pour les fermer.,,http://simonbaudry.free.fr/dico-meca/2017-09-13_174854-liseres.png,,,
Macaron,?,Élements de fixation,,"Cylindre de diamètre relativement grand par rapport à sa hauteur, assurant en général un centrage. ",,http://simonbaudry.free.fr/dico-meca/2017-08-29_145631macaron.png,,,
Tige d'ancrage,Anchor bolt,Composant mécanique,,"Système de fixation d'une structure, en particulier les constructions métalliques, sur une fondation en béton. Le principe consiste à noyer dans la fondation en béton la tête d'un boulon en laissant à l'air libre une tige filetée sur laquelle viendra se fixer la base de la structure métallique à l'aide d'une rondelle et d'un écrou.",Fastener used to attach objects or structures to concrete.,http://simonbaudry.free.fr/dico-meca/stud-anchor-dimensions.gif,http://simonbaudry.free.fr/dico-meca/416px-Expansion_bolt_cutaway.jpg,,
Liaison linéaire annulaire,"Annular linear joint, point curve joint",Cinématique,,,,http://simonbaudry.free.fr/dico-meca/2017-09-12_180157annulaire.png,,,http://dictionnaire.sensagent.leparisien.fr/Liaison_(m%C3%A9canique)/fr-fr/#Mod.C3.A9lisation_anglo-saxonne
Lumière,"Aperture, opening",Design mécanique,,Petite ouverture sur une pièce.,,http://simonbaudry.free.fr/dico-meca/2017-08-29_152555lumiere.png,,,
Axe,Axis,"Eléments tournants, Composant mécanique",,"Tige métallique sur laquelle on place une ou plusieurs roues d'engrenages, ou gallet, ou bien élément tournant en sortie de moteur.","Thin metal mechanical shaft used for the assembly of gears, rollers or wheels, around which they turn freely. Or as a motor's output.",http://simonbaudry.free.fr/dico-meca/2017-08-29_142528axe.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_142511axe.png,,
Jeu,"Backlash, lash, play",Géométrie,,"Espace laissé entre deux pièces assemblées imparfaitement. Comme il est impossible de réaliser des pièces avec une géométrie parfaite, le jeu est une nécessité dans l'assemblage des éléments d'un mécanisme. La considération industrielle du problème a produit la notion de tolérancement, qui définit les classes de qualité d'assemblage et fixe les règles de l'emploi du jeu mécanique.","clearance or lost motion in a mechanism caused by gaps between the parts. It can be defined as ""the maximum distance or angle through which any part of a mechanical system may be moved in one direction without applying appreciable force or motion to the next part in mechanical sequence"", and is a mechanical form of deadband.",http://simonbaudry.free.fr/dico-meca/300px-Jeu_definition.jpg,,,
Embase,"Base, collar",Fonction mécanique,,Elément d’une pièce destiné à servir de base à une autre pièce.  Voir collet.,,http://simonbaudry.free.fr/dico-meca/2017-08-28_155756gorge-saignee-collet-embase-epaulement-chanfreins.png,,,
Coussinet,Bearing shell,"Eléments tournants, Composant mécanique",,"Buselure, en une ou deux pièces, éventuellement munie d’oreilles ou joues, dans laquelle tourne le tourillon d’un arbre.",,http://simonbaudry.free.fr/dico-meca/2017-08-28_155641oreille-joue-coussinet-bagueflottante.png,,,
Roulement à bille,"Bearing, ball bearing",Transmission de puissance,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_154341roulements.png,http://simonbaudry.free.fr/dico-meca/2017-08-29_154407roulement.png,,
